Store-18 ; Order-640 ;         1.00
Store-18 ; Order-641 ;         1.00
Store-18 ; Order-642 ;         1.00
Store-18 ; Order-643 ;         1.00
Store-18 ; Order-644 ;         1.00
Store-18 ; Order-645 ;         1.00
Store-18 ; Order-646 ;         1.00
Store-18 ; Order-647 ;         1.00
Store-18 ; Order-648 ;         1.00
Store-18 ; Order-649 ;         1.00
Store-18 ; Order-650 ;         1.00
Store-18 ; Order-651 ;         1.00
Store-19 ; Order-632 ;         1.00
Store-19 ; Order-633 ;         1.00
Store-19 ; Order-634 ;         1.00
Store-19 ; Order-635 ;         1.00
Store-19 ; Order-636 ;         1.00
Store-19 ; Order-637 ;         1.00
Store-19 ; Order-638 ;         1.00
Store-19 ; Order-639 ;         1.00
Store-19 ; Order-640 ;         1.00
Store-19 ; Order-641 ;         1.00
Store-19 ; Order-642 ;         1.00
Store-19 ; Order-643 ;         1.00
Store-19 ; Order-644 ;         1.00
Store-19 ; Order-645 ;         1.00
Store-19 ; Order-646 ;         1.00
Store-19 ; Order-647 ;         1.00
Store-19 ; Order-648 ;         1.00
Store-19 ; Order-649 ;         1.00
Store-19 ; Order-650 ;         1.00
Store-19 ; Order-651 ;         1.00
Store-21 ; Order-632 ;         1.00
Store-21 ; Order-633 ;         1.00
Store-21 ; Order-634 ;         1.00
Store-21 ; Order-635 ;         1.00
Store-21 ; Order-636 ;         1.00
Store-21 ; Order-637 ;         1.00
Store-21 ; Order-638 ;         1.00
Store-21 ; Order-639 ;         1.00
Store-21 ; Order-640 ;         1.00
Store-21 ; Order-641 ;         1.00
Store-21 ; Order-642 ;         1.00
Store-21 ; Order-643 ;         1.00
Store-21 ; Order-644 ;         1.00
Store-21 ; Order-645 ;         1.00
Store-21 ; Order-646 ;         1.00
Store-21 ; Order-647 ;         1.00
Store-21 ; Order-648 ;         1.00
Store-21 ; Order-649 ;         1.00
Store-21 ; Order-650 ;         1.00
Store-21 ; Order-651 ;         1.00
Store-24 ; Order-632 ;         1.00
Store-24 ; Order-633 ;         1.00
Store-24 ; Order-634 ;         1.00
Store-24 ; Order-635 ;         1.00
Store-24 ; Order-636 ;         1.00
